Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,7,genre,kind
7,9,frère,brother
8,10,laisser,let
9,11,car,because
10,12,mettre,to put
12,14,laisse,leash
13,15,eux,them
14,16,ville,city
15,18,parlé,speak
16,19,arrivé,come
17,22,longtemps,long time
18,23,heures,hours
19,24,vont,will
21,26,revoir,meet again
22,28,place,square
23,29,parle,speak
24,30,compris,understood
25,31,savais,knew
26,32,étaient,were
28,34,voici,here is
29,36,affaire,case
32,39,leurs,their
33,40,donné,given
36,45,façon,way
37,46,écoute,listen
38,47,dont,whose
39,48,trouve,find
42,52,première,first
44,58,matin,morning
45,59,tellement,so much
46,60,enfant,child
47,61,point,point
48,62,venu,came
49,63,suite,after
52,66,devant,in front of
53,67,vers,towards
56,70,chambre,bedroom
57,71,mis,placed
61,76,mari,husband
62,77,cause,cause
63,78,enfin,finally
64,79,espère,hope
65,80,eau,water
66,82,parti,left
67,83,nouvelle,new
68,84,boulot,job
72,90,fin,end
73,91,croire,believe
74,92,chérie,sweetheart
75,93,gros,large
77,95,aura,will have
